客戶代號	客戶名稱	電話	傳真	價格傳真/備註	客戶統編
BJB916	松雅實業916BJB	02-2222-7410	02-2222-7429	收全額才下單	
BJC917	雅彡(雅山)廚具衛浴917BJC	0937-534-581	斌.林姊line		
BJC917-001	雅山門市-				
BJD918	樂朵室內設計918BJD		02-27910723		
BJE919	生活家廚具919BJE	037-377819	037-377820		
BJF920	吉嘉920BJF	02-22772899	02-22772699	sunwave	
BJF920-001	"吉嘉-門市
"	02-22772899	02-22772699		
BJG921	挖設計室內裝修有限公司921	Alan0915260515			
BJH922	築汨室內設計922BJH	02-2732-5038	02-2732-5039		
BJI923	艾傢923BJI	0931-334-450		陳柏雲	
BJJ924	雨辰廚具廠924BJJ	02-86751937	02-86751949		
BJK925	欣昌室內裝修925BJK	02-22568866	02-22568867	孫國鈞0918-972-699	
BJL926	佑鎧926BJL	02-8295-5666	02-8295-6778		
BJM927	東方廚具927BJM	03-9301000	03-9308800	龍騰飛0927-020-303	
BJN928	佶室設計928BJN	0905-225-585		楊國鑫	
BJO929	勁匠929BJO	02-2759-8886	0908-729-289		
BJO929-001	勁匠929BJO-門市				
BJP930	國豐不銹鋼(柏格登)930BJP	02-2786-3737	02-27863318	劉維政0933-920-333	
BJQ931	誠砌設計931BJQ	0928-169-624		周先生	
BJR932	阿房設計BJR932	0920-393-567		郭南德	
BJS933	明展土木933BJS	0953-168-152		何明昱	
BJT934	麗水934BJT	03-3230405	03-3230409		
BJU935	蕎紳國際935BJU(蘇成介紹)	02-82822682	02-82822625		
BJV936	合鋒-陳莉莉936BJV	0952-290-939	02-28836092		
BJW937	鑫承實業社937BJW	02-22830000		鄭立新0906-607-607	
BJX938	吉寶938BJX	02-2511-8418	02-2511-2723	sunwave *水槽齊*下折2.3 倒包3	
BJY939	德匠939BJY	07-7252233	07-7220760	Clean UP	
BJZ940	海恩設計940BJZ	0913-323-231	Line群		
BKA941	品匠廚具941BKA	03-3166824	03-3164372		83329326
BKB942	韋翰實業942BKB	"04-2563-2680
04-2563-2705"	04-2563-3692		
BKC943	縉隆設計943BKC	02-2920-8349	02-2920-8350	何元豪0975-395-066	
BKD944	水設計944BKD	04-22991386	04-22993932	李雁0989-819-717	
BKE945	碩富945BKE	02-2788-5861	02-2788-5681	sunwave要問	
BKF946	樂沐製作設計946BKF	02-2732-8665	02-2732-8650		
BKG947	宜鑫室內(鄭育昇)947BKG	0910-012-138	02-2911-1312		
BKH948	亞橙948BKH	02-2610-4628	02-2610-4629	林佳民0938-382-077	
BKI949	非關設計949BKI	02-27846006	02-278476009	楊承勳0923-916-853	
BKJ950	喆室內設計950BKJ(蘇成)	周祖蔚0972-154-692			
BKK951	塵邸設計951BKK	張稚庭0989-599-768		小賴介紹	
BKL952	亦品廚具952BKL	簡偉儒0958-757-073			
BKM953	本序空間953BKM(蘇成)	03-6589597	03-6585951	莊鵬敬0930-052-027	
BKN954	可來廚具954BKN	0928-657-485	(林姊LINE群組)		
					
BKO955	113-03起蘇成pass過來的				
BKO955-001	新瓦事業(設計)955-001	03-5618948	03-5610635	張宜瑄0928-027-153	
BKO955-002	輕映設計(林純玉)955-002	0909-351-319			
BKO955-003	大涵空間設計955-003	03-5693898	03-5693901	黃本龍0937-539-851	
BKO955-004	源空間設計955-004	0975-633-733			
BKO955-005	菲菲禾舍室內設計955-005	0937-994-356	03-5532638	呂怡娜	
BKO955-006	王耀斌(業主)955-006	0929-835-895			
BKO955-007	初見設計-蔡柏偉955-007	0933-532-213			
BKO955-008	綠星廚具955-008	03-5555881	03-5555881	(老闆娘)莊淑萍0989-316-289	
BKO955-009	穎言955-009	03-5530710		許瑋恆0987-575-471	
BKO955-010	達譽設計955-010	03-526-0682	03-526-0219		53295762
BKO955-011	禾庭設計(吳淑敏)955-011	03-5501213	03-5505213		
BKO955-012	伏見設計955-012	03-341-3100	03-341-4837		
BKO955-013	晉桻設計955-013	02-2406-3680	02-2496-6399		
BKO955-014	沐子設計955-014	李明安0919-467-826	萱Line		
BKO955-015	季沃設計/至邑建築955-015	02-2366-0200	堯Line	楊季頤0966-319-415	52453622
BKO955-016	歐禾設計955-016	03-5588568	03-5502866	賴虹年0952-709-678	
BKO955-017	對場作設計955-017	02-2737-0685	02-2737-0699		29093219
BKO955-018	時工分設計955-018	03-3160695	堯Line		69751006
BKO955-019	業主余理煌955-019	0988-339-974	堯Line		
					
BKP956	美合室內設計956BKP	02-2600-6226 #19		黃雪華0922-125-142	
BKQ957	煜曄957BKQ	03-3605577	03-3605599	takara	
BKQ957-002	豐曜實業有限公司	03-3605577	03-3605599		
BKR958	琢岳設計958BKR	0901-161-189張雅婷			
BKS959	皇家廚具959BKS	03-5345500	03-5330796		
BKS959-001	門市皇家	03-5345500	03-5330796		
BKS959-003	美地建設-華城段皇家	03-5345500	03-5330796		
BKS959-005	金連城波羅段(皇家)	03-5345500	03-5330796		
BKS959-006	新宜營造東寧段(皇家)	03-5345500	03-5330796		
BKS959-007	一銀建設竹東段(皇家)	03-5345500	03-5330796		
BKS959-008	繼信營造中華路璞居(皇家)	03-5345500	03-5330796		
BKS959-009	一銀建設竹下員段(皇家)	03-5345500	03-5330796		
BKS959-010	辰源建設(皇家)	03-5345500	03-5330796		
BKS959-011	樸玉建設(皇家)	03-5345500	03-5330796		
BKS959-012	辰鴻建設社南段(皇家)	03-5345500	03-5330796		
BKS959-013	芎林新鳯段(皇家)	03-5345500	03-5330796		
BKS959-014	金連城建設嘉興段(皇家)	03-5345500	03-5330796		
BKS959-015	富源建設+謙上園(皇家)	03-5345500	03-5330796		
BKS959-016	金連城中興小段(皇家)	03-5345500	03-5330796		
BKT960	璨柏960BKT(收錢才做)	02-8666-6621			
BKU961	杉築961BKU	李建生0932-809-078			
BKV962	台蒝廚具962BKV	02-2255-0380	02-2250-0380	黃先生0976-705-327	
BKW963	世騰建築設計963BKW	02-2773-8673		胡世昭0935-596-896	
BKX964	A+原始設計964BKX(曾朝君)	0910-628-700			
BKY965	直譯空間設計965BKY	02-8642-9209	02-8642-9209		
BKZ966	沐森966BKZ	林室亨0981-650-603		一律桶身好打板	
BLA967	囍空間967BLA	林晨均0928-591-088			
BLB968	渥豐衛浴968BLB	02-2761-1899	02-2761-3699	林意文0934-222-946	
BLC969	君石工程有限公司969BLC	02-25596596公司         02-26191190辧事處	02-25507236公司    02-26191180辦事處		
BLD970	鴻銘國際970BLD	03-222-7836	03-222-7831		
BLE971	愛加971BLE	"02-2620-1314
02-2629-6798~9"	02-2629-3708		
BLF972	穎言972BLF	03-5530710		許瑋恆0987-575-471	
BLG973	頂雅973BLG	06-2706340		峻益客戶	
BLH974	烽碩石業974BLH	03-3221617	03-3221619	需先匯款才能調料	
BLI975	左撇子設計975BLI	0919-929-888	萱line		
BLJ976	宅第設計976BLJ	0981-005-016			
BLK977	春興進口廚衛977BLK	02-2550-6260	02-2550-6270		
BLK977-001	業主維修(春興)				
BLL978	柏雅室內設計978BLL	03-4277990	03-4277998		
BLM979	欣業室內設計979BLM	03-222-8868	03-222-8808		
BLN980	宏承設計980BLN				
BLO981	沐山晴創981BLO	0988-838-892	萱Line		
BLP982	雅富室內裝潢982BLP	03-554-4029	03-656-7245		
BLQ983	亞爾法(吉富)983BLQ	07-727-8770	07-713-5509	sunwave	
BLR984	原拾設計984BLR	林俊宏0958-396-200			
BLS985	萊閣衛浴廚具985BLS	02-2256-0913	02-8257-3895	排程:張r0938-090-544	
BLS985-001	萊閣門市985BLS	02-2256-0913	02-8257-3895		
BLT986	十名設計986BLT		堯LINE	請款:廖r 0972-349-396	
BLU987	宏祈衛浴987BLU	03-327-8979	03-327-8863	回簽只能認公司章	
BLV988	鎰勝工程行988BLV	0921-070-305			
BLW989	涵宸設計989BLW	"王思涵0910-662-419
張釩迆0979-798-657"	斌LINE		
BLX990	築藝廚具990BLX	傅冠達0989-005-509	02-8282-2551		
BLY991	澄諴設計991BLY	0915-062-809	萱LINE		
BLZ992	唐御品設計992BLZ	02-2753-0880	斌LINE		
BMA993	方構FUN設計993BMA	02-2795-5231	02-2795-5232		
BMB994	墐桐空間994BMB	03-3759668	03-3759669		
BMC995	四禾設計995BMC	07-2150988	07-2152188		
BMD996	景賀設計996BMD	劉總監0932-620-143			
BME997	耀旭997BME	03-9588696	03-9588697		
BMF998	優德櫥櫃998BMF	02-2898-2126	02-2898-2326		
BMG999	全聚愷999BMG	劉永祝0932-033-763	02-2646-1358		
BMH1000	溢淶1000BMH	04-2463-5551	04-2463-5501		
BMI1001	高林室內設計1001BMI	03-379-2336	03-370-3394		
BMJ1002	雙威空間1002BMJ	劉威利0933-821-190			
BMK1003	格霖永續1003BMK	03-3972765	游章翊0953-167-349		
BMK1003-001	業主維修(格霖)				
BML1004	崧富廚櫃1004BML	04-2708-0018	04-2707-0193		
BMM1005	東匠1005BMM	03-359-0607	03-359-0667		
BMN1006	寶廚森沛1006BMN	07-823-0585	陳庭甄0989-066-770		
BMO1007	帝谷室內裝修1007BMO	02-2795-6997	02-2795-1697	吳泓瑋0978-161-233	
BMP1008	吉畝設計1008BMP	02-8521-4032	02-8521-4036		
BMQ1009	碁玉室內裝修1009BMQ	03-530-6080	03-538-3305		
BMR1010	尚奕不鏽鋼有限公司1010BMR	03-3167431	03-3167943		
BMS1011	豐聚設計1011BMS	04-23196588	04-23106553		
BMT1012	松墨室內1012BMT	02-22688828	王曉歡0900-394-886		
BMU1013	程作設計1013BMU	02-2633-0811	羅士承0936-730-933		
BMV1014	溫根設計1014BMV	02-2365-2525	婷萱Line		
BMW1015	日靖國際1015BMW	03-6688924	Line		
BMX1016	太寅設計1016BMX	林先生0955-868-689			
BMY1017	大潤建設1017BMY	03-3237977	林姊.公司機LINE		
BMZ1018	羽拓設計1018BMZ	楊先生0972-961-011	堯LINE		
BNA1019	樂家1019BNA	02-22453330	02-22452330	賴羅雄0939-752-752	
BNB1020	澔岳設計-王柏樺1020BNB	0930-393-093	斌Line		
BNC1021	富藝設計1021BNC	"林淑儀0981-139-916
高先生0932-390-115"	斌Line		
BND1022	禾新櫥櫃1022BND	02-2568-1161	02-2568-1162		88378227
BNE1023	富霖家居1023BNE	02-2831-5016	02-2831-5160		94033118
BNF1024	誠伽人造石1024BNF	呂小姐0975-806-927			
BNG1025	禾硯設計1025BNG	02-2511-3910	03-555-2088		
BNH1026	家昇廚具1026BNH	翁易騰0987-022-917			
BNI1027	舒翰室內裝修1027BNI	吳保隆0933-090-825	02-2759-1461		52682224
BNJ1028	磐德國際1028BNJ	02-7755-1360	Line		83683487
BNJ1028-001	門市店樣(磐德)				
BNK1029	育林工程行1029BNK	03-357-9884	林姊LINE		99448761
BNL1030	碩謹設計1030BNL	02-2511-3910	萱Line	張苡璿0918-909-354	94130863
BNM1031	澤岑設計-湯家豪1031BNM	0939-865-438	萱Line		
BNN1032	同心圓製作1032BNN	02-2765-7180	02-2765-7179		
BNO1033	御廚房1033BNO	李岳勳0956-625-858			
BNP1034	寬晴設計1034BNP	03-317-2986	03-317-2979		53812739
BNQ1035	石匠精神1035BNQ(鼎鵬)	0982-360-457		(高皓)	
BNR1036	村杉室內1036BNR	04-2437-0170	04-2437-0170		
BNS1037	燙燙系統家俱1037BNS	0975-276-537			93079092
BNT1038	垚榛工程1038BNT	侯小姐Jasmine(林姊LINE)	林姊LINE		
BNU1039	森隅設計1039BNU	吳先生0975-316-831			
BNV1040	友光設計1040BNV	顏絲鈴0982085575	林姊LINE		99751340
BNW1041	福住空間1041BNW	王維仁0926953169	林姊LINE		42059072
BNX1042	橙果設計1042BNX	03-6675808	林姊LINE	收全額才下單	42603361
BNY1043	一嘉1043BNY	0925-992-345	林姊LINE		
BNZ1044	慶翔廚具1044BNZ	02-2259-1788	02-2259-1978	曾先生0931-107-788	
BOA1045	東江齋空間設計有限公司1045BOA	02-2793-9726	02-2654-3306	陳芑瑋0982-859-771	
BOB1046	森醞空間制作1046BOB			黃佩婷0978-883-359	
BOC1047	貳壹設計1047BOC	02-8969-8121	02-8969-8821		
BOD1048	立景廚具1048BOD	02-2731-1897	林姐、萱Line	鄭景仁0925-209-001	53092106
BOE1049	琢墨室內設計1049BOE	何友元0932-118-143	林姊Line		
BOF1050	杉居建築設計1050BOF	林千琪0955-974-062	Line		
BOG1051	米格空間1051BOG	黃冠綾0983-144-619	斌.萱Line		
BOH1052	呈勖1052BOH				
BOI1053	弘齊建材1053BOI	邱佳莉0919-496-953	斌Line		211705
BOI1053-001	門市(弘齊)				
BOJ1054	琺恩斯1054BOJ	02-8273-2233	斌Line	Takara	
BOK1055	沐居設計1055BOK	陳文美0913-541-691			
BOL1056	工語室內裝修1056BOL	劉昌杰0963-379-311			60685353
BOM1057	瑞逸傢品1057BOM	02-2605-2678	02-2605-2679	(橋旺系統櫃)許瑞蘭0931-756-970	85126233
BON1058	維陽系統櫥櫃1058BON	02-2872-7260	02-2872-4585	葉福文0918-253-276	53949881
BOO1059	科定企業1059BOO	02-2296-3999分機6203	林姊Line	張淑柚0912-025-872	80214519
BOP1060	禹拓(陳建宏)1060BOP	0916-748-318	Line群		
BOQ1061	金匠實業1061BOQ	陳祺綸0938-160-101		家翔朋友	00245281
BOR1062	博鉅1062BOR				
BOS1063	歐米室內裝修1063BOS	02-2221-0473	02-2221-4157	林炎生0935-608-958	
BOT1064	研創1064BOT	唐岑倚0937-912-823			85336667
BOU1065	創空間1065BOU				50782465
BOV1066	為家室內裝修1066BOV	游惠婷0956-181-550			00165977
BOW1067	茗國系統家具1067BOW	02-2993-8797	02-8991-4828	魏子淳0933-061-926	80448381
BOX1068	賀靖設計1068BOX	鄭曉照0911868660	萱Line		
BOY1069	顏田室內裝修1069BOY	02-2720-7720	02-2720-7723/Line		42757013
BOZ1070	睦和國際1070BOZ	02-2579-1680	02-2579-1681		90596516
BPA1071	勁和室內空間設計1071BPA	張紫嵐0923-522-931	斌		
BPB1072	百德廚衛1072BPB	丁世和0938-306-051	萱+公務機Line	峻益客戶	00181580
BPC1073	森之屋1073BPC	吳柏寬0933-830-332			29139411
BPD1074	森也設計1074BPD	李鳳儀0915-185-598	萱Line	邱福順方先生介紹	
BPE1075	品安廚具1075BPE	"02-2618-1602
0979-581-034"	02-2618-1603		54053539
BPF1076	木木嘉專門類型1076BPF		林姊Line	詹玉美客戶	
BPG1077	享向設計1077BPG	02-2249-7229	萱Line		42691815
BPH1078	歆靚ㄐㄧㄥˋ 設計1078BPH	02-2602-1126	02-2602-0751		24714169
BPI1079	續作室內裝修1079BPI	02-2395-1080#16	02-2395-1090	郭聿捷0909-316-772	85014053
BPJ1080	橙意室內裝修1080BPJ	楊先生0918-219-218		大潤建設介紹	
BPK1081	維詩頓廚具1081BPK	02-7728-8704	斌LINE		94190539
BPL1082	宏泰工程1082BPL	02-8923-2099	02-2923-8021		54046171
BPM1083	二三國際設計1083BPM	楊承軒0970-174-759	林姊Line	興立富介紹斌	
BPN1084	翡閣設計1084BPN	李威震0912-917-529			
BPO1085	歐提Otis室內設計1085BPO	賴明村Marty0939-074-512	03-574-8866		45123689
BPP1086	詠存1086BPP	王郁文0920-488-266			
BPQ1087	凱勝廚具1087BPQ	彭正宏0931-232-532	03-5297266		85225825
BPR1088	成境室內裝修1088BPR	02-2552-9600	02-2552-9500	王薇淇0911-387-207	16560350
BPS1089	旌(ㄐㄧㄥ)堡室內裝修1089BPS	04-2295-0762	04-2295-0902(斌/堯Line)		
BPT1090	百儷企業BPT1090	02-2602-3629	02-2602-2139		47084183
BPU1091	梓元設計1091BPU	04-2231-5176	斌Line	曾淑貴0963-420-576	93792251
BPV1092	鼎士達設計1092BPV	"台北02-2279-6442
新竹03-5935-999"	斌Line	簡伯諺0933-227-586	82123368
BPW1093	沐宇空間設計1093BPW	02-2753-0073	02-2753-0073		
BPX1094	富凱室內裝修1094BPX	07-693-0628	王堃竹0921-026-075		47648606
BPY1095	宇嶼空間1095BPY	李宇聖0921-147388(原里摩)	斌Line		
BPZ1096	漢瀧興業有限公司1096BPZ	02-8285-1688	02-8285-1633	林政毓0966-658-239	
BQA1097	井桐空間製作1097BQA	0327-670-081	公務機Line	吳冠毅設計師	60736917
BQB1098	不二創藝1098BQB	雷達0976-003-258			90385391
BQC1099	雲志系統家具1099BQC	謝丹青0987-838-153	斌/堯Line		
BQD1100	光嶼設計1100BQD	04-33958642		瑪摩介紹給斌	82978815
BQE1101	寒舍餐旅1101BQE	02-66225722	02-66381818		70471881
BQF1102	磐舍美學(鈦克石)1102BQF	02-2746-6623	斌LINE	張祐真0983984089	
BQG1103	欣豐設計1103BQG	陳韋樺0917-216-666			
					
					
					
ZZY999	峻砷999ZZY	04-8876956	04-8876727		
ZZZ1000	峻展1000	06-2712363	06-2710500		
ZZY999-20	業主收費						
AAB002-09	和成-忠明002-09AAB	04-22080513	04-22081103		
AAB-002-10	和成-龍潭旗艦店-(美居)AAB	03-4700859	03-4700559		
AAB-002-11	和成-民族店002-11AAB	02-25853498	02-25851303		
AAB-002-12	和成-信義店AAB	02-27584366	02-27580229		
AAB-002-13	和成-新豐店AAB	03-6960062	03-6960476		
AAB-002-14	珺祿室內裝修工程行(和成生活館)	03-4911106	03-4911105		10608265
AAB002-016	業主維修-和成客戶				
AAB002-17	寶隆室內工藝AAB002-17	02-26792294#265	02-86776926(王s)	02-26787232	
AAC003	合祥-003AAC	02-27410008	02-27710066		
AAD004	雍華十上-004AAD	02-27006321	02-27006331	回簽需問發票	
AAD004-001	雍華十上(大同區南京東路227號/11F)	為了沖帳勿刪			
AAD004-001-01	雍華十上(大同區南京東路227號/9F)	為了沖帳勿刪			
AAE005	全勝祥-復興店	02-27068488	02-87911992	Clean up 吳先生0938-692262	
AAE005-01	全勝祥-內湖店005-01	02-87923949	02-87911992	Clean up	
AAE005-007	業主維修(全勝祥)				
AAE005-008	小紀-個人				
AAF007	禹臣-007AAF	03-6572012	03-6572262		
AAG008	璞舍-008AAG	02-27608959	02-27608938		
AAH009	竹桓-009	02-25072808	02-25182257	Clean up	
AAH009-01	門市店樣+竹桓				
AAH009-004	竹桓-龜山合遠建設				
	竹桓倉儲-蔡小姐	03-3183966			
	竹桓倉儲-張先生	0939-098245			
AAH009-002	鴻築建設+竹桓	為了沖帳	為了沖帳		
AAH009-003	合達建設+竹桓	為了沖帳	為了沖帳		
AAH009-005	合遠建設+竹桓	為了沖帳	為了沖帳		
AAH009-006	合遠善捷+竹桓	為了沖帳	為了沖帳		
AAH009-007	合遠建設青溪段(竹桓)	為了沖帳	為了沖帳		
AAH009-000	竹桓-台南門市	02-25072809	02-25182258		
AAH009-009	竹桓南部案場(峻益帳)代請款				
AAH009-008	竹桓中部案場(峻砷帳)代請款				
ZZY999	峻砷999ZZY	04-8876956	04-8876727		
ZZZ1000	峻展1000	06-2712363	06-2710500		
ZZY999-20	業主收費				
